date,hy_Multiple10,hy_Multiple15,hy_Multiple20,hy_Multiple25,hy_Multiple30,hy_Multiple35,hy_Multiple40,hy_Multiple45,hy_Multiple50,hy_¡÷∞°
2019-03-31,25781.00375,38671.50563,51562.0075,64452.50938,77343.01125,90233.51313,103124.015,116014.5169,128905.0188,82100
2019-06-30,26811.09556,40216.64334,53622.19112,67027.7389,80433.28667,93838.83445,107244.3822,120649.93,134055.4778,61100
2019-09-30,26684.81505,40027.22257,53369.63009,66712.03762,80054.44514,93396.85266,106739.2602,120081.6677,133424.0752,54100
2019-12-31,26629.10688,39943.66032,53258.21376,66572.7672,79887.32064,93201.87407,106516.4275,119830.981,133145.5344,50400
2020-03-31,26413.78814,39620.68222,52827.57629,66034.47036,79241.36443,92448.2585,105655.1526,118862.0466,132068.9407,31450
2020-06-30,27274.26913,40911.40369,54548.53825,68185.67282,81822.80738,95459.94194,109097.0765,122734.2111,136371.3456,37550
2020-09-30,27240.82222,40861.23334,54481.64445,68102.05556,81722.46667,95342.87779,108963.2889,122583.7,136204.1111,61900
2020-12-31,28014.15871,42021.23806,56028.31741,70035.39676,84042.47612,98049.55547,112056.6348,126063.7142,140070.7935,123500
2021-03-31,27962.79307,41944.1896,55925.58614,69906.98267,83888.37921,97869.77574,111851.1723,125832.5688,139813.9653,118000
2021-06-30,27244.21055,40866.31582,54488.42109,68110.52637,81732.63164,95354.73692,108976.8422,122598.9475,136221.0527,135500
2021-09-30,27073.70111,40610.55167,54147.40222,67684.25278,81221.10333,94757.95389,108294.8044,121831.655,135368.5056,98500
2021-12-31,26359.67513,39539.51269,52719.35026,65899.18782,79079.02538,92258.86295,105438.7005,118618.5381,131798.3756,138000
2022-03-31,28504.46811,42756.70216,57008.93622,71261.17027,85513.40433,99765.63838,114017.8724,128270.1065,142522.3405,120500
