기간,철광석(달러_톤),유연탄(달러_톤),철스크랩(달러_톤),철스크랩(엔_톤),철근(천원_톤),열연(천원_톤),후판(천원_톤),냉연(천원_톤)
2021-12,113,293,458,52160,1036,1172,1180,1290
2021-11,93,311,438,53575,1045,1248,1195,1290
2021-10,119,334,409,50675,1060,1296,1250,1310
2021-09,121,299,417,44800,1103,1320,1275,1315
2021-08,163,202,437,46075,1203,1315,1300,1320
2021-07,208,181,454,46980,1098,1300,1300,1338
2021-06,216,154,443,46450,1255,1300,1300,1315
2021-05,203,118,402,43325,1073,1225,1225,1135
2021-04,178,105,393,38820,853,1020,1020,1050
2021-03,166,111,393,38575,778,922,858,1012
2021-02,168,135,367,34875,750,890,830,975
2021-01,167,111,383,38400,743,875,790,880
2020-12,156,94,298,33600,678,776,706,764
2020-11,125,94,244,26450,670,710,680,740
2020-10,120,107,241,24620,665,698,680,726
2020-09,123,100,233,23625,641,688,675,703
2020-08,123,86,204,21300,643,680,670,675
2020-07,108,91,197,20960,650,670,660,666
2020-06,103,91,205,21550,638,665,655,678
2020-05,95,91,195,17750,648,660,650,714
2020-04,84,111,202,17980,645,675,665,736
2020-03,88,145,229,18525,596,700,695,740
2020-02,87,142,236,19575,590,710,710,730
2020-01,92,130,243,23060,591,702,702,716
2019-12,91,121,222,22675,539,698,698,710
2019-11,85,122,200,21093,568,690,690,713
2019-10,89,125,189,21160,610,706,714,734
2019-09,93,128,223,22850,648,728,728,748
2019-08,90,140,242,24400,666,726,726,750
2019-07,117,165,226,24420,687,720,720,752
2019-06,111,179,238,27275,696,735,738,754
2019-05,99,184,269,28920,695,734,744,750
2019-04,93,178,296,31700,696,735,745,750
2019-03,86,180,310,31500,695,726,736,712
2019-02,89,180,294,28700,694,714,724,690
2019-01,77,179,303,28260,688,706,721,730
2018-12,71,185,325,28600,711,720,745,783
2018-11,72,194,323,32360,721,736,789,810
2018-10,73,185,305,34725,699,740,795,810
2018-09,69,177,301,34075,668,740,795,810
2018-08,67,159,321,33440,683,730,792,810
2018-07,65,167,335,32925,669,740,780,810
2018-06,65,184,329,33400,639,750,772,810
2018-05,66,171,338,32560,591,750,755,810
2018-04,65,175,344,32650,619,758,750,810
2018-03,67,191,331,35000,625,780,750,793
2018-02,78,196,314,34800,631,780,713,780
2018-01,77,184,309,35040,681,808,720,780
2017-12,72,179,274,33760,670,774,696,790
2017-11,64,155,254,30850,659,763,673,790
2017-10,61,152,262,29850,675,793,690,803
2017-09,69,169,280,30040,653,790,690,790
2017-08,75,171,269,26975,639,728,628,750
2017-07,67,151,259,24850,634,678,615,740
2017-06,58,136,260,23200,635,650,600,740
2017-05,61,156,258,23700,625,693,607,772
2017-04,70,232,268,27250,632,750,623,805
2017-03,87,150,266,27023,610,766,646,850
2017-02,87,150,263,24832,593,758,623,878
2017-01,80,167,259,25618,619,773,635,852
2016-12,80,234,223,24012,578,702,632,765
2016-11,73,263,187,20214,539,618,583,700
2016-10,59,202,181,18226,508,600,560,668
2016-09,57,168,200,18212,533,592,560,680
2016-08,61,106,205,17243,528,585,520,706
2016-07,57,88,215,17225,537,588,492,735
2016-06,52,85,231,17823,569,628,530,770
2016-05,55,86,229,23181,594,650,580,754
2016-04,60,82,189,19591,546,572,552,695
2016-03,56,76,162,14885,499,525,520,655
2016-02,47,72,155,14368,498,500,500,586
2016-01,42,74,147,14415,486,496,496,575
2015-12,41,72,139,14058,509,490,490,613
2015-11,47,71,143,13413,551,498,498,648
2015-10,53,75,191,14475,577,554,554,693
2015-09,57,74,202,18591,609,590,590,728
2015-08,56,75,219,21619,609,590,590,754
2015-07,52,78,240,22896,620,590,590,783
2015-06,63,83,237,24039,560,590,590,806
2015-05,61,79,227,23259,527,590,590,823
2015-04,52,110,224,22904,531,593,598,813
2015-03,57,92,223,22855,536,613,603,824
2015-02,63,95,271,23701,543,630,707,848
2015-01,68,99,310,24880,564,630,900,865
2014-12,70,102,304,26689,582,630,900,860
2014-11,73,99,319,27403,604,643,900,860
2014-10,80,98,342,29562,612,650,900,860
2014-09,83,96,352,31717,620,650,900,868
2014-08,93,93,351,31104,616,664,900,898
2014-07,96,93,351,31817,619,683,900,930
2014-06,93,97,353,31421,635,690,900,948
2014-05,101,100,362,30698,645,700,900,950
2014-04,114,101,366,30661,654,700,900,950
2014-03,112,100,359,29549,662,700,900,950
2014-02,121,111,374,33425,666,700,900,950
2014-01,128,117,386,35684,672,700,900,950
2013-12,136,121,368,37056,676,705,900,950
2013-11,136,127,346,35130,670,726,900,950
2013-10,132,131,330,32774,673,730,900,950
2013-09,134,136,332,32708,675,728,900,950
2013-08,137,130,335,30510,664,720,900,944
2013-07,127,118,333,30040,665,728,900,950
2013-06,115,120,330,30562,665,755,900,950
2013-05,125,128,323,31174,677,762,900,950
2013-04,137,134,347,32305,688,778,900,950
2013-03,140,147,357,33085,703,796,900,980
2013-02,155,155,338,31045,706,795,900,980
2013-01,151,152,347,28794,692,775,900,980
2012-12,131,145,384,25428,701,760,900,980
2012-11,122,141,338,22903,713,760,900,988
2012-10,116,129,309,22313,739,758,900,1000
2012-09,102,128,346,24972,769,785,915,1008
2012-08,108,146,355,25919,776,826,938,1030
2012-07,129,168,313,25132,801,848,970,1030
2012-06,136,180,351,25564,798,864,970,1036
2012-05,139,190,393,29936,777,865,970,1040
2012-04,150,190,389,31814,787,843,970,1040
2012-03,147,186,397,30887,804,830,970,1040
2012-02,142,193,397,30479,802,825,970,1048
2012-01,142,198,417,30550,798,808,970,1050
2011-12,138,199,392,30000,779,802,970,1060
2011-11,137,198,371,25292,812,830,963,1100
2011-10,151,226,399,29553,824,890,1028,1108
2011-09,178,245,411,33975,805,900,1180,1114
2011-08,179,252,412,32733,803,900,1172,1090
2011-07,175,267,413,33425,775,908,1170,1180
